2025-03-26 12:48:07 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.0.dtd" >" at the top of the suite file [D:\Automation\org.bank.demo\testng.xml] otherwise TestNG may fail or not work as expected.
2025-03-26 12:48:08 INFO  TC_NC_001:46 - Initializing test setup...
2025-03-26 12:48:08 INFO  TC_NC_001:52 - Configuration file loaded successfully.
2025-03-26 12:48:12 INFO  TC_NC_001:59 - WebDriver initialized successfully.
2025-03-26 12:48:18 INFO  TC_NC_001:64 - Application launched: https://demo.guru99.com/V2/ 
2025-03-26 12:48:22 INFO  TC_NC_001:71 - Entered credentials and attempted login.
2025-03-26 12:48:22 INFO  TC_NC_001:79 - Login successful. Navigated to Home Page.
2025-03-26 12:48:24 INFO  TC_NC_001:88 - Successfully navigated to 'Add New Customer' page.
2025-03-26 12:48:24 INFO  TC_NC_001:10 - Navigating to Add New Customer page
2025-03-26 12:48:24 INFO  TC_NC_001:15 - Entered Customer Name: GJaWU
2025-03-26 12:48:25 INFO  TC_NC_001:18 - Selected Gender: Male
2025-03-26 12:48:25 INFO  TC_NC_001:22 - Entered Date of Birth: 26-03-2025
2025-03-26 12:48:25 INFO  TC_NC_001:26 - Entered Address: JNNMy
2025-03-26 12:48:25 INFO  TC_NC_001:30 - Entered City: hUZWn
2025-03-26 12:48:25 INFO  TC_NC_001:34 - Entered State: EqdTO
2025-03-26 12:48:26 INFO  TC_NC_001:38 - Entered PIN: 497172
2025-03-26 12:48:26 INFO  TC_NC_001:42 - Entered Mobile Number: 0243610574
2025-03-26 12:48:26 INFO  TC_NC_001:46 - Entered Email ID: VEKyB@gmail.com
2025-03-26 12:48:28 INFO  TC_NC_001:49 - Clicked on Submit button
2025-03-26 12:48:28 INFO  TC_NC_001:59 - Alert Text: Customer added successfully !!!.
 Generated Customer ID: 58653
2025-03-26 12:48:28 INFO  TC_NC_001:63 - Success alert verified: Customer added successfully.
2025-03-26 12:48:28 INFO  TC_NC_001:71 - Accepted success alert.
2025-03-26 12:48:29 INFO  TC_NC_001:96 - Test execution completed. Browser closed.
2025-03-26 12:48:29 INFO  TC_NC_002:46 - Initializing test setup...
2025-03-26 12:48:29 INFO  TC_NC_002:52 - Configuration file loaded successfully.
2025-03-26 12:48:30 INFO  TC_NC_002:59 - WebDriver initialized successfully.
2025-03-26 12:48:45 INFO  TC_NC_002:64 - Application launched: https://demo.guru99.com/V2/ 
2025-03-26 12:48:50 INFO  TC_NC_002:71 - Entered credentials and attempted login.
2025-03-26 12:48:50 INFO  TC_NC_002:79 - Login successful. Navigated to Home Page.
2025-03-26 12:48:53 INFO  TC_NC_002:88 - Successfully navigated to 'Add New Customer' page.
2025-03-26 12:48:53 INFO  TC_NC_002:10 - Validating error message for leading space in Customer Name
2025-03-26 12:48:53 INFO  TC_NC_002:15 - Entered invalid customer name: ' mNdir'
